"Taxa","Taxa_category","Predictor","Category","Count","ReferenceGroup","Term","EffectSize","p_Value","New_column_names","Column_Category","Column_Subcategory","Data_type","Formatted_Predictor","Column_Category_2","PValue"
"s__Betapapillomavirus_2","Eukaryotic virus","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_affecting_sleep_1_to_10",1.75531914893617,1.92627209385187e-05,"Itchy_skin_in_the_last_week_affecting_sleep_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week affecting sleep 1 to 10","SkinDiscomfort",0.00107871237255704
"s__Malassezia_slooffiae","Fungi","Ethnicity_East_Asian","1",19,"0","Ethnicity_East_Asian1",-2.45344129554656,0.000587840593776574,"Ethnicity","Demographics","Demographics","Character","Ethnicity (East Asian)","Demographics",0.0505542910647854
"s__Malassezia_slooffiae","Fungi","Routinely_shave_underarms_last_time_Yesterday","1",3,"0","Routinely_shave_underarms_last_time_Yesterday1",3.70114942528736,0.00260910869950164,"Routinely_shave_underarms_last_time","SkinBehavior","Underarm","Character","Routinely shave underarms last time (Yesterday)","SkinBehavior",0.0747944493857138
"s__Malassezia_slooffiae","Fungi","Hair_covering_frequency_Never","1",21,"0","Hair_covering_frequency_Never1",-2.29437229437229,0.00231774896310262,"Hair_covering_frequency","SkinBehavior","Scalp","Character","Hair covering frequency (Never)","SkinBehavior",0.0747944493857138
"s__Cutibacterium_phage_P14_4","Bacteriophage","Irritation_pain_1_to_10","NotApplicable",999,"NotApplicable","Irritation_pain_1_to_10",1.7,0.000841586422700815,"Irritation_pain_1_to_10","SkinIrritation","General","Numeric","Irritation pain 1 to 10","SkinDiscomfort",0.0791091237338766
"s__Polyomavirus_HPyV7","Eukaryotic virus","Body_sites_affected_by_eczema_More_than_one_area","1",3,"0","Body_sites_affected_by_eczema_More_than_one_area1",3.42666666666667,0.00282945784968306,"Body_sites_affected_by_eczema","SkinCondition","General","Character","Body sites affected by eczema (More than one area)","SkinDisease",0.108934127212798
"s__Polyomavirus_HPyV7","Eukaryotic virus","Routinely_shave_bikine_line_Yes","1",3,"0","Routinely_shave_bikine_line_Yes1",3.42666666666667,0.00282945784968307,"Routinely_shave_bikine_line","SkinBehavior","Pubic","Character","Routinely shave bikine line","SkinBehavior",0.108934127212798
"s__Cutibacterium_phage_P14_4","Bacteriophage","Itchy_skin_in_the_last_week_severity_1_to_10","NotApplicable",999,"NotApplicable","Itchy_skin_in_the_last_week_severity_1_to_10",0.249052432090967,0.00235856543520197,"Itchy_skin_in_the_last_week_severity_1_to_10","SkinItch","General","Numeric","Itchy skin in the last week severity 1 to 10","SkinDiscomfort",0.110852575454493
"s__Cutibacterium_phage_P14_4","Bacteriophage","Routinely_use_underarm_topical_medications_Yes","1",3,"0","Routinely_use_underarm_topical_medications_Yes1",1.78070175438596,0.00370373865354317,"Routinely_use_underarm_topical_medications","SkinBehavior","Underarm","Character","Routinely use underarm topical medications","SkinBehavior",0.116050477811019
"s__Cutibacterium_phage_P14_4","Bacteriophage","Surface_hydration_forearm","NotApplicable",999,"NotApplicable","Surface_hydration_forearm",-0.0293327763564296,0.00508243012448997,"Surface_hydration_forearm","SkinPhysio","Forearm","Numeric","Surface hydration forearm","SkinPhysio",0.119437107925514
