"","Taxa1","Site1","Site2","Spearman_r","p_value","adjust_p","Annotation"
"1","Micrococcus_luteus","Vf","Ll",0.791323894957193,3.51119756625125e-44,2.2055942112905e-41,"***"
"2","Micrococcus_luteus","Vf","Ac",0.75352726725226,6.40887085420284e-38,4.01385982152328e-35,"***"
"3","Moraxella_osloensis","Vf","Ll",0.727512403173898,3.11409318396332e-34,1.9469811422043e-31,"***"
"4","Staphylococcus_epidermidis","Vf","Ac",0.719792007924453,3.21028101439949e-33,2.0056351309843e-30,"***"
"5","Micrococcus_luteus","Ac","Ll",0.709115352398862,7.12764966003512e-32,2.62388852343634e-29,"***"
"6","Moraxella_osloensis","Vf","Ac",0.685440027055299,4.28481447277308e-29,1.14223834327587e-26,"***"
"7","Malassezia_restricta","Vf","Ac",0.662183781061053,1.30598054248598e-26,3.46651192635782e-24,"***"
"8","Micrococcus_luteus","Vf","Ub",0.633066039686192,8.51128600018409e-24,2.24905408564456e-21,"***"
"9","Malassezia_restricta","Fo","Ch",0.624309864909754,5.23228242951965e-23,1.375856321735e-20,"***"
"10","Malassezia_restricta","Vf","Ll",0.620432331838208,1.14829131198172e-22,3.01636336918124e-20,"***"
"11","Micrococcus_luteus","Ub","Ll",0.610022883851353,8.98190886227599e-22,2.35402540915677e-19,"***"
"12","Corynebacterium_pseudogenitalium","Vf","Ac",0.594508532431689,1.67982062248233e-20,4.39438231507885e-18,"***"
"13","Micrococcus_luteus","Ac","Ub",0.589544745626343,4.1483534840586e-20,1.08464252092898e-17,"***"
"14","Staphylococcus_epidermidis","Vf","Ll",0.584593771581213,1.00651784923003e-19,2.62977663140142e-17,"***"
"15","Malassezia_restricta","Ps","Sc",0.580514543423095,2.06584713753176e-19,4.70179921467783e-17,"***"
"16","Dermabacter_sp_HFH0086","Fo","Ac",0.580253944369779,2.16221926415511e-19,4.70179921467783e-17,"***"
"17","Malassezia_restricta","Ac","Ll",0.579938682922895,2.28471053568935e-19,4.96645516829516e-17,"***"
"18","Cutibacterium_acnes","Vf","Ac",0.568919222980575,1.51128901373999e-18,2.92945275905456e-16,"***"
"19","Micrococcus_luteus","Fo","Ub",0.5687690654147,1.54994913340938e-18,2.94459988696189e-16,"***"
"20","Moraxella_osloensis","Ac","Ll",0.561063179596369,5.57016974793093e-18,1.02492174718832e-15,"***"
"21","Staphylococcus_epidermidis","Ac","Ll",0.55798461051523,9.20054266111553e-18,1.69242576696223e-15,"***"
"22","Moraxella_osloensis","Vf","Ub",0.538040105132571,2.10227259761322e-16,3.85674202735814e-14,"***"
"23","Cutibacterium_acnes","Ac","Ub",0.526603165079127,1.15421742181851e-15,2.10695677853378e-13,"***"
"24","Cutibacterium_acnes","Ac","Ll",0.526429160729018,1.18392989042631e-15,2.16088390757664e-13,"***"
"25","Corynebacterium_kroppenstedtii","Vf","Ac",0.526306321631743,1.20535439390356e-15,2.19967066455627e-13,"***"
"26","Moraxella_osloensis","Ub","Ll",0.519728616789358,3.11617261743735e-15,5.67205180369462e-13,"***"
"27","Staphylococcus_hominis","Ac","Ll",0.517036981020379,4.5695122908966e-15,8.30906425125626e-13,"***"
"28","Cutibacterium_acnes","Vf","Ll",0.516294907372684,5.07512195545354e-15,9.22646396604748e-13,"***"
"29","Staphylococcus_hominis","Vf","Ac",0.513361251135341,7.66557597472561e-15,1.39138987185011e-12,"***"
"30","Micrococcus_luteus","Fo","Ll",0.500107326751095,4.7056730528998e-14,7.40503516425367e-12,"***"
"31","Corynebacterium_pseudogenitalium","Vf","Ll",0.492217390270398,1.33609531061446e-13,1.81825606054307e-11,"***"
"32","Micrococcus_luteus","Fo","Vf",0.486046547316927,2.96678090899651e-13,3.87672321918141e-11,"***"
"33","Cutibacterium_acnes","Ub","Ll",0.483778594464862,3.9616725295289e-13,5.17409089340429e-11,"***"
"34","Malassezia_restricta","Vf","Ub",0.483630300775091,4.03699760649792e-13,5.27219656603844e-11,"***"
"35","Staphylococcus_epidermidis","Vf","Ub",0.471989791972185,1.72193611695509e-12,2.23944997299678e-10,"***"
"36","Micrococcus_luteus","Fo","Ac",0.466614263329155,3.30363200505139e-12,4.28485905968447e-10,"***"
"37","Malassezia_restricta","Fo","Ub",0.465850817691144,3.62060843764016e-12,4.69550157688402e-10,"***"
"38","Corynebacterium_kroppenstedtii","Ac","Ll",0.465431785612958,3.8069673422312e-12,4.93668188210892e-10,"***"
"39","Moraxella_osloensis","Ac","Ub",0.460711777584895,6.66917352674466e-12,8.63499214313379e-10,"***"
