"","ID","metadata","Dermotype_size","coef","stderr","N","N.not.0","pval","qval","Site","class","Superclass1","Superclass2","Superclass3","Superclass4","label_1","label_2","pwy","prev","HighPrev","Type","ave_abund","rank","percentile","Subclass"
"1","1CMET2-PWY","binary_outcome","Ac-1",0.428874012628102,0.121927015495077,394,387,0.00049601445441,0.00359453512847753,"Ac","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Folate-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","Vitamin-Biosynthesis","Folate-Biosynthesis","Vitamin-Syn","Folate-Syn","N10-formyl-tetrahydrofolate biosynthesis",0.978787878787879,"Y","conserved",0.00860606201907873,39,0.928838951310861,"Vitamin Syn"
"2","ARGININE-SYN4-PWY","binary_outcome","Ac-1",-1.51283318145904,0.324291951225129,394,368,4.33521314492492e-06,7.09117007277006e-05,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|Other-Amino-Acid-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","Other-Amino-Acid-Biosynthesis",NA,"Amino-Acid-Syn","Other-Amino-Acid-Syn","L-ornithine de novo  biosynthesis",0.921212121212121,"N","variable",0.00157884525222113,150,0.720973782771536,"Amino acid metabolism"
"3","ASPASN-PWY","binary_outcome","Ac-1",1.07326027814818,0.236026297178362,394,378,7.33797666693208e-06,0.000116694212272739,"Ac","Biosynthesis|Amino-Acid-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis",NA,NA,"Amino-Acid-Syn"," ","superpathway of L-aspartate and L-asparagine biosynthesis",0.963636363636364,"Y","variable",0.00143592260458601,156,0.709737827715356,"Amino acid metabolism"
"4","BRANCHED-CHAIN-AA-SYN-PWY","binary_outcome","Ac-1",-0.798057552907165,0.0955099928705504,394,392,1.17379496929872e-15,5.37598095938814e-14,"Ac","Biosynthesis|Amino-Acid-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis",NA,NA,"Amino-Acid-Syn"," ","superpathway of branched amino acid biosynthesis",0.993939393939394,"Y","conserved",0.00800043696187344,43,0.921348314606742,"Amino acid metabolism"
"5","CITRULBIO-PWY","binary_outcome","Ac-1",-1.10354044990637,0.249937630795887,394,382,1.329669510392e-05,0.000179255658085813,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|Other-Amino-Acid-Biosynthesis|Citrulline-Biosynthesis","Biosynthesis","Amino-Acid-Biosynthesis","Other-Amino-Acid-Biosynthesis","Citrulline-Biosynthesis","Amino-Acid-Syn","Other-Amino-Acid-Syn","L-citrulline biosynthesis",0.963636363636364,"Y","conserved",0.00372489688638898,75,0.861423220973783,"Amino acid metabolism"
"6","COA-PWY","binary_outcome","Ac-1",1.37041464911351,0.150811728964122,394,392,5.42711476510526e-18,3.45224800335862e-16,"Ac","Biosynthesis|Cofactor-Biosynthesis|CoA-Biosynthesis","Biosynthesis","Cofactor-Biosynthesis","CoA-Biosynthesis",NA,"Cofactor-Syn","Coa-Syn","coenzyme A biosynthesis I",0.993939393939394,"Y","conserved",0.0126360632918325,21,0.962546816479401,"Cofactor Syn"
"7","DAPLYSINESYN-PWY","binary_outcome","Ac-1",1.08255325089662,0.0974673561363855,394,393,5.72900895117371e-25,9.37102178441986e-23,"Ac","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|LYSINE-SYN","Biosynthesis","Amino-Acid-Biosynthesis","IND-AMINO-ACID-SYN","LYSINE-SYN","Amino-Acid-Syn","Lysine-Syn","L-lysine biosynthesis I",0.996969696969697,"Y","conserved",0.0130806618650048,20,0.964419475655431,"Amino acid metabolism"
"8","DENOVOPURINE2-PWY","binary_outcome","Ac-1",1.03962450033527,0.342336244892569,394,354,0.00256715357762841,0.0134834442494703,"Ac","Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis","Biosynthesis","Nucleotide-Biosynthesis","PUR-NUC-SYN","Purine-Nucleotide-De-Novo-Biosynthesis","Nucleotide-Syn","Purine-Syn","superpathway of purine nucleotides de novo biosynthesis II",0.915151515151515,"N","all_low",0.00200389183561841,127,0.764044943820225,"Nucleotide metabolism"
"9","DTDPRHAMSYN-PWY","binary_outcome","Ac-1",1.27355228858995,0.298391021343936,394,362,2.50219358074005e-05,0.000308065768811544,"Ac","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|SUGAR-NUCLEOTIDES|dTDP-Sugar-Biosynthesis|dTDP-L-Rhamnose-Biosynthesis","Biosynthesis","Carbohydrates-Biosynthesis","CARBO-BIOSYNTHESIS","SUGAR-NUCLEOTIDES","Carbohydrates-Syn","Carbo-Syn","dTDP-L-rhamnose biosynthesis I",0.918181818181818,"N","all_low",0.00126429896492719,164,0.694756554307116,"Carbohydrate metabolism"
"10","FAO-PWY","binary_outcome","Ac-1",0.826442690696833,0.227054743409072,394,385,0.000309782348734356,0.00253357706643455,"Ac","Degradation|Fatty-Acid-and-Lipid-Degradation|Fatty-Acid-Degradation","Degradation","Fatty-Acid-and-Lipid-Degradation","Fatty-Acid-Degradation",NA,"Fatty-Acid&Lipid-Deg","Fatty-Acid-Deg","fatty acid &beta;-oxidation I",0.978787878787879,"Y","conserved",0.00270835710246624,98,0.818352059925094,"Lipid metabolism"
