Label,,BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BHI + SE,BHI + SE,BHI + SE,BHI + SE,BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BHI + SH,BHI + SH,BHI + SH,BHI + SH,BLANK (BHI),BLANK (BHI),BHI + SE+SH,BHI + SE+SH,BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BHI + SE+SH,BHI + SE+SH,BLANK (BHI),BLANK (BHI),BHI+GAL + SE,BHI+GAL + SE,BHI+GAL + SE,BHI+GAL + SE,BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BLANK (BHI),BHI+GAL + SE+SH,BHI+GAL + SE+SH,BLANK (BHI),BLANK (BHI),BHI+GAL + SH,BHI+GAL + SH,BHI+GAL + SH,BHI+GAL + SH,BLANK (BHI),BLANK (BHI),BHI+GAL + SE+SH,BHI+GAL + SE+SH,BLANK (BHI),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL),BLANK (BHI+GAL)
Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Blank,1,2,3,4,5,6,11,12,13,14,15,16,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
00:00:56,0,0.118,0.117,0.112,0.115,0.12,0.113,0.116,0.191,0.193,0.198,0.2,0.106,0.114,0.115,0.114,0.112,0.11,0.113,0.111,0.115,0.114,0.107,0.115,0.184,0.188,0.187,0.195,0.112,0.115,0.201,0.195,0.11,0.117,0.119,0.112,0.112,0.111,0.112,0.111,0.195,0.19,0.112,0.113,0.2,0.197,0.194,0.205,0.111,0.115,0.119,0.114,0.115,0.111,0.115,0.113,0.112,0.113,0.113,0.113,0.194,0.19,0.112,0.119,0.18,0.179,0.184,0.19,0.114,0.119,0.19,0.185,0.112,0.111,0.115,0.113,0.108,0.111,0.113,0.112,0.111,0.114,0.108
00:30:06,0,0.109,0.108,0.105,0.106,0.108,0.105,0.108,0.199,0.199,0.201,0.208,0.102,0.106,0.105,0.103,0.103,0.102,0.103,0.102,0.105,0.103,0.102,0.105,0.182,0.185,0.19,0.196,0.103,0.103,0.201,0.199,0.102,0.111,0.105,0.102,0.102,0.102,0.102,0.102,0.195,0.191,0.102,0.105,0.196,0.195,0.194,0.202,0.102,0.104,0.107,0.103,0.107,0.105,0.104,0.102,0.102,0.103,0.102,0.103,0.191,0.188,0.102,0.108,0.18,0.18,0.184,0.191,0.103,0.105,0.192,0.19,0.103,0.105,0.105,0.102,0.1,0.101,0.103,0.102,0.101,0.102,0.099
01:00:06,0,0.109,0.108,0.105,0.107,0.109,0.107,0.108,0.247,0.248,0.249,0.254,0.104,0.105,0.106,0.103,0.103,0.102,0.103,0.103,0.105,0.104,0.103,0.106,0.211,0.213,0.214,0.219,0.103,0.104,0.237,0.239,0.103,0.109,0.106,0.103,0.102,0.102,0.103,0.102,0.232,0.228,0.103,0.105,0.242,0.24,0.236,0.24,0.102,0.104,0.106,0.103,0.107,0.105,0.104,0.102,0.102,0.103,0.103,0.103,0.228,0.223,0.102,0.108,0.208,0.21,0.214,0.222,0.103,0.106,0.228,0.227,0.103,0.106,0.106,0.102,0.101,0.101,0.103,0.102,0.102,0.103,0.1
01:30:06,0,0.111,0.109,0.107,0.108,0.11,0.108,0.109,0.336,0.335,0.338,0.341,0.105,0.105,0.106,0.105,0.104,0.103,0.104,0.104,0.106,0.105,0.104,0.106,0.247,0.251,0.247,0.257,0.104,0.104,0.299,0.305,0.103,0.109,0.106,0.103,0.103,0.103,0.104,0.103,0.295,0.293,0.104,0.105,0.328,0.327,0.321,0.322,0.103,0.105,0.106,0.104,0.107,0.105,0.104,0.103,0.103,0.103,0.103,0.103,0.292,0.286,0.103,0.108,0.242,0.255,0.251,0.26,0.103,0.105,0.289,0.296,0.104,0.107,0.106,0.103,0.101,0.102,0.103,0.102,0.102,0.103,0.101
02:00:06,0,0.116,0.113,0.111,0.112,0.116,0.112,0.111,0.469,0.468,0.472,0.471,0.107,0.107,0.11,0.107,0.106,0.105,0.106,0.106,0.108,0.108,0.106,0.109,0.313,0.32,0.305,0.317,0.105,0.106,0.395,0.413,0.105,0.111,0.109,0.106,0.105,0.105,0.106,0.105,0.394,0.405,0.106,0.107,0.465,0.458,0.455,0.452,0.104,0.105,0.107,0.105,0.108,0.107,0.106,0.104,0.104,0.104,0.104,0.104,0.392,0.378,0.103,0.11,0.305,0.32,0.315,0.33,0.104,0.105,0.388,0.395,0.105,0.11,0.108,0.104,0.102,0.103,0.103,0.103,0.103,0.104,0.102
02:30:06,0,0.116,0.113,0.111,0.112,0.116,0.113,0.112,0.65,0.648,0.655,0.654,0.107,0.107,0.109,0.107,0.106,0.105,0.106,0.106,0.108,0.108,0.107,0.109,0.409,0.421,0.378,0.409,0.105,0.107,0.542,0.571,0.105,0.111,0.109,0.105,0.105,0.105,0.105,0.105,0.549,0.549,0.106,0.107,0.651,0.641,0.632,0.632,0.104,0.105,0.107,0.105,0.108,0.107,0.106,0.104,0.103,0.104,0.103,0.104,0.55,0.529,0.103,0.11,0.41,0.431,0.419,0.441,0.104,0.105,0.539,0.55,0.105,0.11,0.108,0.105,0.102,0.103,0.104,0.103,0.103,0.104,0.102
03:00:06,0,0.116,0.114,0.111,0.111,0.115,0.112,0.112,0.868,0.873,0.876,0.876,0.107,0.107,0.11,0.107,0.107,0.105,0.106,0.106,0.109,0.108,0.107,0.109,0.558,0.565,0.499,0.545,0.106,0.107,0.747,0.787,0.106,0.111,0.109,0.106,0.105,0.105,0.106,0.105,0.754,0.762,0.106,0.107,0.87,0.855,0.849,0.848,0.104,0.106,0.107,0.105,0.108,0.107,0.106,0.104,0.104,0.104,0.103,0.104,0.758,0.728,0.103,0.11,0.526,0.572,0.56,0.585,0.104,0.105,0.737,0.759,0.105,0.11,0.109,0.105,0.103,0.103,0.104,0.103,0.104,0.105,0.102
03:30:06,0,0.112,0.11,0.108,0.109,0.112,0.109,0.11,1.159,1.161,1.16,1.144,0.105,0.107,0.108,0.105,0.105,0.104,0.105,0.105,0.107,0.106,0.105,0.108,0.721,0.726,0.642,0.698,0.105,0.106,0.967,0.992,0.104,0.109,0.108,0.104,0.104,0.104,0.105,0.104,0.972,0.976,0.105,0.107,1.151,1.138,1.11,1.114,0.103,0.106,0.108,0.104,0.108,0.106,0.105,0.104,0.103,0.104,0.104,0.105,0.973,0.951,0.104,0.109,0.68,0.729,0.712,0.744,0.104,0.106,0.949,0.974,0.105,0.108,0.108,0.104,0.103,0.103,0.104,0.103,0.104,0.104,0.103
